ID,EGO_COUNTRY,EGO_CITATIONS,EGO_PAPERS,EGO_COAUTHORS
7003650137,Italy,44964,964,15715
55138747600,Italy,45032,1037,15958
35315083400,Italy,50260,1110,19090
35313678000,Italy,40446,868,16681
7004443747,Italy,50466,1158,18915
15738032200,Italy,49469,1086,19304
35095999100,Italy,76036,1109,18716
35221100800,United States,37923,855,15209
7101707295,Italy,55975,1211,19265
7102904152,Italy,63418,1574,2331
35227037600,Italy,55950,1349,20136
35227984000,Italy,35822,799,8476
6602154453,Italy,42261,909,16569
35227072700,Italy,56579,1204,21059
7004689268,Italy,50844,1118,16239
55324070900,Italy,68062,1339,19999
55238098100,Italy,51727,1187,18940
7005895860,Italy,47937,769,16045
35285610600,Italy,44238,1011,17185
55663198300,United Kingdom,36432,1352,1667
7006272136,Italy,55110,1133,18783
35228077300,Italy,55160,1141,19146
35227846600,Italy,64769,1193,8535
6602823070,Italy,41620,903,16054
7005921706,Italy,42698,827,14532
56025381300,Italy,68681,1462,20253
35226954200,Italy,52087,1181,19320
7006321472,Italy,54564,1133,18074
55290965700,Switzerland,36592,1025,17246
35228024100,Italy,51438,1065,18881
7003476119,Switzerland,43054,950,15819
35227042600,Italy,51594,1145,18756
35228205600,Italy,54557,973,16955
56439130600,Italy,41543,979,15759
35351713000,Italy,37025,843,11117
35227987800,Italy,55265,1024,17573
35278420800,Italy,42474,851,16059
6701814067,Italy,43880,916,16657
56243019300,Italy,44342,1072,16849
35226969700,Italy,51388,1167,19087
7006317965,Italy,51511,1153,19362
7003560254,Italy,45003,964,18011
34767905500,Italy,66442,1498,21323
7004393676,Italy,43961,990,17768
35226940800,Italy,56657,1349,17641
7006326115,Italy,49159,835,14624
7006985177,Italy,50067,1138,18738
22835662400,Italy,44594,925,15684
